Account,Tài khoản
No available rooms found for selected period,Không còn phòng trống trong khoảng thời gian đã chọn
No records found,Không tìm thấy bản ghi nào
No Show,Khách không đến
Not permitted,Bạn không có quyền thực hiện thao tác này
Nothing to save,Không có thay đổi nào để lưu
Notifications,Thông báo
Occupied Clean,Khách sạch (OC)
Occupied Dirty,Khách bẩn (OD)
Open,Đang mở
Opening balance posted,Đã ghi sổ số dư đầu kỳ
Opening Invoice Creation Tool,Công cụ nhập số dư công nợ
Operation successful,Thao tác thành công
Ordered Qty,Số lượng đang đặt mua
Out of Order,Hỏng hóc (OOO)
Out of Service,Tạm ngưng (OOS)
Outstanding Amount,Số dư còn nợ
Outstanding balance must be zero before check-out,Số dư nợ Folio phải bằng 0 trước khi trả phòng
Overdue,Quá hạn thanh toán
Paid,Đã thanh toán
Paid Amount,Số tiền đã trả
Partly Paid,Đã thanh toán một phần
Payment allocated successfully,Đã phân bổ thanh toán thành công
Payment Entry,Phiếu thu / chi
Payroll Entry,Tính lương tháng
Pending,Chờ duyệt
Please confirm,Vui lòng xác nhận
Please select a room before check-in,Vui lòng chọn phòng trước khi nhận phòng
Please wait...,Vui lòng đợi trong giây lát...
Previous,Trước đó
Price List,Bảng giá
Pricing Rule,Quy tắc giá
Print,In ấn
Print Folio Statement,In sao kê chi tiêu Folio
Processing...,Đang xử lý...
Profit and Loss Statement,Báo cáo P&L
Purchase Amount,Nguyên giá
Purchase Date,Ngày mua
Purchase Invoice,Hóa đơn mua vào
Purchase Order,Đơn mua hàng (PO)
Purchase Receipt,Phiếu nhập mua
Purchase Taxes and Charges Template,Mẫu thuế mua hàng
Qty,SL
Quantity,Số lượng
Quick Access,Truy cập nhanh
Quick Stock Balance,Xem nhanh tồn kho
Quotation,Báo giá
Rate,Đơn giá
Recipe Ingredient,Nguyên liệu định lượng
Refresh,Làm mới
Rejected,Đã từ chối
Reports,Báo cáo
Reservation Routing,Định tuyến đặt phòng
Reserved,Đã đặt chỗ
Reserved Qty,Số lượng giữ trước
Reset,Đặt lại
Role,Vai trò
Role Permission Manager,Quản lý phân quyền
Room Rate Plan,Bảng giá phòng
Room status updated,Đã cập nhật trạng thái buồng phòng
Row #{0}: {1},Dòng #{0}: {1}
Salary Slip,Phiếu lương
Salary Structure,Cơ cấu lương
Salary Structure Assignment,Gán bảng lương
Sales Invoice,Hóa đơn bán ra
Sales Order,Đơn bán hàng (SO)
Sales Partner,Đại lý / Đối tác
Sales Report,Báo cáo bán hàng
Sales Taxes and Charges Template,Mẫu thuế bán hàng
Save,Lưu
Saved,Đã lưu
Saved successfully,Lưu thành công
Search,Tìm kiếm
Select,Chọn
Select All,Chọn tất cả
Selling,Bán hàng
Serial No,Mã Serial
Settings,Cài đặt
Shift Assignment,Phân ca làm việc
Shift Type,Ca làm việc
Shipping Address,Địa chỉ giao hàng
Shortcuts,Lối tắt
Split folio charges,Tách chi phí Folio
Stock,Kho vận
Stock Balance,Báo cáo tồn kho
Stock balance updated successfully,Đã cập nhật số dư tồn kho thành công
Stock Entry,Phiếu kho
Stock Ledger,Sổ kho (SLE)
Stock Reconciliation,Kiểm kê kho
Stock UOM,ĐVT lưu kho
Stock Value,Giá trị kho
Submit,Ghi sổ / Nộp
Submitted,Đã ghi sổ
Supplier,Nhà cung cấp
Supplier Group,Nhóm NCC
Supplier Quotation,Báo giá NCC
Supplier Type,Loại NCC
System Settings,Cài đặt hệ thống
Tape Chart,Sơ đồ phòng
Tax Withholding Category,Thuế khấu trừ tại nguồn
Taxes and Charges,Thuế & Phí
Territory,Khu vực bán hàng
Total Debit must be equal to Total Credit,Tổng Nợ phải bằng Tổng Có
Transaction added to Folio,Đã ghi nhận giao dịch vào tài khoản Folio
Transactions,Chứng từ giao dịch
Trial Balance,Cân đối phát sinh
Unbilled,Chưa lập hóa đơn
Unit of Measure,ĐVT
Unpaid,Chưa thanh toán
Unselect All,Bỏ chọn tất cả
UOM,ĐVT
UOM Conversion Factor,Hệ số quy đổi ĐVT
Upload,Tải lên
User,Người dùng
User Permission,Phân quyền theo đối tượng
Users and Permissions,Người dùng & Phân quyền
Vacant Clean,Trống sạch (VC)
Vacant Dirty,Trống bẩn (VD)
Valuation Rate,Đơn giá vốn
Value After Depreciation,Giá trị còn lại
View,Xem
Warehouse,Kho bãi
Warehouse Type,Loại kho
Workflow,Quy trình duyệt
Write Off Amount,Số tiền xóa nợ
Hospitality Surcharge Settings,Cài đặt Biểu phí & Phụ thu
Hospitality Police Settings,Cài đặt Khai báo Công an & XNC
Scan VietQR,Quét mã VietQR
Split Tour Bill,Tách Bill Đoàn Tour
Export Quang Ninh Immigration File,Xuất File XNC Quảng Ninh
Check FOC Rooms,Kiểm tra phòng FOC hướng dẫn viên
Quick VietQR,Tạo mã VietQR nhanh
Early Check-in Surcharge,Phụ thu nhận phòng sớm
Late Check-out Surcharge,Phụ thu trả phòng muộn
Weekend Surcharge,Phụ thu cuối tuần
Holiday Surcharge,Phụ thu ngày lễ tết
